Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2026,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,4528,0,914,0,0,0,731,0,0,0,0,0,13,0,579,0,0,228
MSitAE-JULY-2026,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,20950,0,6754,718,0,0,5634,0,385,0,0,0,566,74,2979,0,0,359
MSitAE-JULY-2026,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,22400,2253,0,0,0,0,8781,181,0,0,0,0,1181,860,6725,6,0,3557
MSitAE-JULY-2026,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,8621,0,885,382,0,1469,3521,0,127,156,0,2,576,148,2682,0,51,1030
MSitAE-JULY-2026,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1625,0,0,0,0,0,28,0,0,0,0,0,0,0,21,0
MSitAE-JULY-2026,RYG,NHS ENGLAND MIDLANDS ,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39
MSitAE-JULY-2026,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,13981,0,0,725,0,0,282,0,0,11,0,0,0,0,0,0
MSitAE-JULY-2026,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,7048,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,14527,0,16522,0,0,0,6929,0,244,0,0,0,629,413,6516,0,0,131
MSitAE-JULY-2026,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,12897,0,10206,0,0,58,6105,0,608,0,0,1,501,40,3190,0,0,1819
MSitAE-JULY-2026,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,8631,0,2800,0,0,194,4660,0,24,0,0,2,566,575,2324,0,0,1842
MSitAE-JULY-2026,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,10655,0,3309,2,0,0,3887,0,612,0,0,0,611,693,1930,0,0,319
MSitAE-JULY-2026,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",14061,2611,15643,0,0,0,5493,191,355,0,0,0,537,572,3862,0,0,2456
MSitAE-JULY-2026,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,28053,0,9145,0,0,0,10368,0,397,0,0,0,933,902,7887,0,359,2710
MSitAE-JULY-2026,RNN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,9179,0,3370,248,0,31,4238,0,226,61,0,2,573,269,2254,0,0,472
MSitAE-JULY-2026,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,14905,0,4351,0,0,0,5128,0,10,0,0,0,1319,180,4268,0,488,1007
MSitAE-JULY-2026,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13239,1542,3319,1762,0,187,3962,0,90,310,0,35,410,7,5356,111,13,4232
MSitAE-JULY-2026,RWW,NHS ENGLAND NORTH WEST ,NORTH CHESHIRE AND MERSEY NHS FOUNDATION TRUST,7159,0,6141,279,0,376,3114,0,44,82,0,2,506,841,1788,0,0,119
MSitAE-JULY-2026,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,10683,0,2720,1728,0,1536,4077,0,64,0,0,0,263,246,2960,0,0,536
MSitAE-JULY-2026,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12911,0,3488,210,0,61,4048,0,270,34,0,1,1096,312,3418,0,100,1231
MSitAE-JULY-2026,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6528,226,0,415,0,0,2928,0,0,0,0,0,420,183,1511,0,0,540
MSitAE-JULY-2026,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,5197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,27454,946,19180,0,0,0,10388,4,2171,0,0,0,1069,1169,4083,0,36,1378
MSitAE-JULY-2026,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,5281,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,13584,0,13763,0,0,0,6429,0,755,0,0,0,585,1074,3067,0,565,548
MSitAE-JULY-2026,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,18237,0,4418,0,0,0,6207,0,295,0,0,0,636,1217,4935,0,0,1205
Total,Total,Total,Total,1489424,56912,865079,27717,460,47988,573607,2252,28907,7253,32,528,77306,47438,400260,1598,6172,139798
